Date,Open,High,Low,Close,Adj Close,Volume
1998-02-02,15.12,15.12,15.12,15.12,2.88,0
1998-02-03,15.23,15.23,15.23,15.23,2.91,0
1998-02-04,15.34,15.34,15.34,15.34,2.93,0
1998-02-05,15.42,15.42,15.42,15.42,2.94,0
1998-02-06,15.49,15.49,15.49,15.49,2.96,0
1998-02-09,15.54,15.54,15.54,15.54,2.96,0
1998-02-10,15.68,15.68,15.68,15.68,2.99,0
1998-02-11,15.72,15.72,15.72,15.72,3.00,0
1998-02-12,15.74,15.74,15.74,15.74,3.00,0
1998-02-13,15.80,15.80,15.80,15.80,3.01,0
1998-02-17,15.80,15.80,15.80,15.80,3.01,0
1998-02-18,15.87,15.87,15.87,15.87,3.03,0
1998-02-19,15.88,15.88,15.88,15.88,3.03,0
1998-02-20,15.90,15.90,15.90,15.90,3.03,0
1998-02-23,15.97,15.97,15.97,15.97,3.05,0
1998-02-24,15.93,15.93,15.93,15.93,3.04,0
1998-02-25,16.03,16.03,16.03,16.03,3.06,0
